Number	Movie_Title	Director1	Director2	Director3	Production_Company	Importer	Distributor1	Distributor2	Release_Date	Movie_Category	Movie_Type	Nationality	National_Screen_Number	National_Revenue	National_Spectator_Number	Seoul_Revenue	Seoul_Spectator_Number	Movie_Rate	Running_Time	Genre1	Genre2	Actor1	Actor2	Actor3
548 	레모니 스니켓의 위험한 대결	브래드 실버링			드림웍스 SKG	(주)프리미어엔터테인먼트	씨제이엔터테인먼트(주)		2005-01-28	일반영화	장편	미국	134	4759572000	858847	1876091500	298965	전체관람가	108	코미디		짐 캐리	에밀리 브라우닝	
549 	숙명	김해곤			엠케이디케이		씨제이엔터테인먼트(주)		2008-03-20	일반영화	장편	한국	341	5680873500	858215	1582293500	230045	청소년관람불가	123	드라마	액션	송승헌	권상우	김인권
550 	올드미스다이어리	김석윤			싸이더스 픽쳐스,청년필름(주)		롯데쇼핑㈜롯데엔터테인먼트		2006-12-21	일반영화	장편	한국	179	4750247000	856090	1608445000	248992	12세이상관람가	108	코미디		예지원	지현우	김지영
551 	디스트릭트 9	닐 블롬캠프				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜		2009-10-15	일반영화	장편	미국	320	6518492154	853859	2619214500	327328	청소년관람불가	112	SF	액션	샬토 코플리	제이슨 코프	
552 	스타더스트	매튜 본			파라마운트 픽쳐스	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)		2007-08-15	일반영화	장편	미국	316	6420372500	853441	2619214500	313886	12세이상관람가	128	판타지	액션	클레어 데인즈	찰리 콕스	
553 	만추	김태용			(주)에스씨에스엔터테인먼트		씨제이엔터테인먼트(주)		2011-02-17	일반영화	장편	한국	444	6300514500	844103	2403086500	306882	15세이상관람가	113	멜로/로맨스		현빈	탕웨이	
554 	오션스 트웰브	스티븐 소더버그			워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)		2005-01-07	일반영화	장편	호주	152	5185799000	842000	2395056000	388518	12세이상관람가	125	범죄	코미디	맷 데이먼	조지 클루니	브래드 피트
555 	이대로, 죽을 순 없다(Short Time)	이영은			(주)매쉬필름		쇼이스트(주)		2005-08-18	일반영화	장편	한국	164	4266661500	838419	1243464000	192770	12세관람가	106	코미디		이범수	최성국	손현주
556 	아는 여자	장진			필름있수다		(주)시네마서비스		2004-06-25	일반영화	장편	한국	81	4686300500	838000	1697954500	390000	15세관람가	107	드라마		정재영	이나영	
557 	존 카터: 바숨 전쟁의 서막 	앤드류 스탠든				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜		2012-03-08	일반영화	장편	미국	508	7218670500	837426	1990997500	211589	12세이상관람가	132	SF	액션	테일러 키치	린 콜린스	윌렘 데포
558 	마린보이	윤종석			리얼라이즈픽쳐스(주)		씨제이엔터테인먼트(주)		2009-02-05	일반영화	장편	한국	340	5565284169	837059	1455046000	206861	15세이상관람가	118	액션	스릴러	김강우	조재현	박시연
559 	슈퍼스타 감사용	김종현			싸이더스 픽쳐스		씨제이엔터테인먼트(주)		2004-09-17	일반영화	장편	한국	128	4073017000	834706	1800295500	330396	전체관람가	115	드라마		이범수	공유	윤진서
560 	체포왕	임찬익			(주)씨네이천		롯데쇼핑㈜롯데엔터테인먼트		2011-05-04	일반영화	장편	한국	407	6146610500	831804	1785434000	228733	15세이상관람가	117	코미디	액션	박중훈	이선균	김정태
561 	어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장	강석범			㈜제니스엔터테인먼트		(주)시네마서비스		2004-03-12	일반영화	장편	한국	28	1158210500	830000	335878500	341000	12세관람가	108	코미디		김주혁	엄정화	
562 	데자뷰	토니 스콧				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜		2007-01-11	일반영화	장편	미국	201	4763669500	829891	1934247500	324030	12세이상관람가	126	액션		덴젤 워싱턴	발 킬머	
563 	로봇(애니)	카를로스 살다나			블루스카이스튜디오,투엔티쓰 센츄리-폭스 필름 코퍼레이션	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션		2005-07-28	일반영화	장편	미국	176	3748779500	826100	1285364000	230100	전체관람가	90	애니메이션	코미디	할리 베리	이완 맥그리거	
564 	남쪽으로 튀어	임순례			(주)영화사거미,필름트레인		롯데쇼핑㈜롯데엔터테인먼트		2013-02-06	일반영화	장편	한국	428	5907297500	821918	1479390000	198233	15세이상관람가	121	코미디	드라마	김윤석	오연수	한예리
565 	뮌헨	스티븐 스필버그			유니버셜 픽쳐스,드림웍스 SKG,엠블린엔터테인먼트	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)		2006-02-10	일반영화	장편	미국	164	4861581300	817155	2139461800	327937	15세관람가	163	스릴러	드라마	에릭 바나	다니엘 크레이그	
566 	틴틴 : 유니콘호의 비밀	스티븐 스필버그				롯데쇼핑㈜롯데엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트		2011-12-07	일반영화	장편	미국	644	6721820500	814023	2231009500	254024	전체관람가	90	애니메이션	가족	제이미 벨	앤디 서키스	다니엘 크레이그
567 	콜래트럴	마이클 만			드림웍스 SKG,파라마운트 픽쳐스	UIP코리아	UIP코리아		2004-10-15	일반영화	장편	미국	114	3754176000	814000	1756217500	324481	15세관람가	120	액션		톰 크루즈	제이미 폭스	
568 	외출	허진호			블루스톰(주)		쇼이스트(주)		2005-09-07	일반영화	장편	한국	244	4377147500	809191	1852865000	287650	18세관람가	105	멜로/로맨스		배용준	손예진	
569 	모범시민	F. 게리 그레이				데이지엔터테인먼트	(주)시너지하우스 (시너지)		2009-12-10	일반영화	장편	미국	309	5933122225	807486	1989985500	257733	15세이상관람가	107	스릴러	범죄	제라드 버틀러 	제이미 폭스	
570 	써로게이트	조나단 모스토우				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜		2009-10-01	일반영화	장편	미국	224	6020292355	806924	2106905000	269912	15세이상관람가	88	SF	스릴러	브루스 윌리스	라다 미첼	
571 	밀리언 달러 베이비 	클린트 이스트우드			워너 브러더스 픽쳐스,레이크쇼어 엔터테인먼트,말파소 프로덕션즈	(주)튜브엔터테인먼트	(주)튜브엔터테인먼트		2005-03-10	다양성(예술)영화	장편	미국	159	4674787179	806891	2293221500	361085	12세관람가	137	드라마		힐러리 스웽크	클린스 이스트우드	
572 	킹스 스피치	톰 후퍼				(주)영화사그랑프리	(주)화앤담이엔티		2011-03-17	일반영화	장편	영국	317	5963126500	806248	2670236000	344099	12세이상관람가	118	드라마		콜린 퍼스	제프리 러쉬	헬레나 본햄 카터
573 	스피드 레이서	앤디 워쇼스키	래리 워쇼스키			워너브러더스 코리아(주)	워너브러더스 코리아(주)		2008-05-08	일반영화	장편	미국	339	5219874500	804631	2075139500	301766	12세이상관람가	133	액션	가족	정지훈	매튜 폭스	
574 	하늘에서 음식이 내린다면 2	코디 카메론	크리스 피언			소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)		2013-11-21	일반영화	장편	미국	545	5423213000	800062	1182203500	162353	전체관람가	94	애니메이션	코미디	빌 하더	안나 패리스	닐 패트릭 해리스
575 	그놈은 멋있었다	이환경			엘티 픽쳐스		프라임픽쳐스		2004-07-22	일반영화	장편	한국	77	2309055500	800000	631350500	160000	15세관람가	113	코미디		송승헌	정다빈	
576 	무극	첸 카이거				쇼이스트(주)	쇼이스트(주)		2006-01-26	일반영화	장편	중국	190	4308635500	798091	1,375,686,500 (	213892	12세관람가	101	멜로/로맨스	액션	장동건	장백지	사나다 히로유키
577 	A-특공대	조 카나한			듄 엔터테인먼트	이십세기폭스코리아(주)	이십세기폭스코리아(주)		2010-06-10	일반영화	장편	미국	330	5890424042	791173	1983672000	253638	15세이상관람가	119	액션		리암 니슨	브래들리 쿠퍼	퀸튼 잭슨
578 	화이트: 저주의 멜로디	김곡,김선			(주)두엔터테인먼트 		씨제이이앤엠(주)		2011-06-09	일반영화	장편	한국	305	5587166000	790954	1093550000	146776	15세이상관람가	106	공포		황우슬혜	함은정	최아라
579 	노트북	닉 카사베츠			뉴라인 시네마	스튜디오플러스(주)	씨제이엔터테인먼트(주)		2004-11-26	일반영화	장편	미국	101	2750069500	789087	1230441000	219593	15세관람가	123	멜로/로맨스		레이첼 맥아덤즈	라이언 고슬링	
580 	잭 리처	크리스토퍼 맥쿼리			파라마운트 픽쳐스	씨제이이앤엠(주)	씨제이이앤엠(주)		2013-01-17	일반영화	장편	미국	431	5758577000	784031	1767476500	230355	15세이상관람가	130	액션		톰 크루즈	로자문드 파이크	로버트 듀발
581 	러시 아워 3	브렛 래트너			뉴라인 시네마	인터비스앤파트너스(주)	씨제이엔터테인먼트(주)		2007-10-03	일반영화	장편	미국	262	4952254000	783668	1281398000	198820	15세이상관람가	90	범죄	코미디	성룡	크리스 터커	
582 	숨바꼭질	존 폴슨			투엔티쓰 센츄리-폭스 필름 코퍼레이션,조셉슨엔터테인먼트	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션		2005-02-25	일반영화	장편	미국	108	4386066000	779200	1602362000	261550	15세관람가	102	공포	스릴러	로버트 드니로	다코타 패닝	
583 	데스노트	카네코 슈스케				거원시네마(주)	UIP코리아		2006-11-02	일반영화	장편	일본	177	3703565500	777230	1111782000	205035	12세관람가	126	범죄	스릴러	후지와라 다쓰야	마츠야마 켄이치	
584 	관능의 법칙	권칠인			(주)명필름		롯데쇼핑㈜롯데엔터테인먼트		2014-02-13	일반영화	장편	한국	591	5808789500	773996	1798198300	231102	청소년관람불가	109	드라마	코미디	엄정화	문소리	조민수
585 	그랜드 부다페스트 호텔	웨스 앤더슨				이십세기폭스코리아(주)	이십세기폭스코리아(주)		2014-03-20	다양성(예술)영화	장편	미국	163	6012095982	773605	3516335882	444941	청소년관람불가	100	미스터리	어드벤처	랄프 파인즈	틸다 스윈튼	주드 로
586 	푸른소금	이현승			(주)미디어앤시네마스튜디오블루		씨제이이앤엠(주)		2011-08-31	일반영화	장편	한국	476	5739824500	771699	1634205500	208701	15세이상관람가	122	액션	드라마	송강호	신세경	천정명
587 	플라이트 플랜	로베르트 슈벤트케			터치스톤 픽쳐스,이메이진엔터테인먼트	브에나비스타인터내셔널코리아	브에나비스타인터내셔널코리아		2005-11-18	일반영화	장편	미국	164	4347551500	771544	1854548500	298203	12세관람가	98	드라마		피터 사스가드	조디 포스터	
588 	나는 왕이로소이다	장규성			데이지엔터테인먼트		롯데쇼핑㈜롯데엔터테인먼트		2012-08-08	일반영화	장편	한국	471	5317185404	768971	1274113835	176961	12세이상관람가	120	사극	코미디	주지훈	백윤식	박영규
589 	나의 결혼원정기	황병국			튜브픽쳐스(주)		롯데쇼핑㈜롯데엔터테인먼트		2005-11-23	일반영화	장편	한국	237	3860195500	767657	1491157500	249070	12세관람가	123	드라마		정재영	유준상	수애
590 	토르: 마법망치의 전설	오스카 요나손	토비 젠켈	거나 칼슨		(주)스마일이엔티	롯데쇼핑㈜롯데엔터테인먼트	(주)스마일이엔티	2012-02-09	일반영화	장편	아이슬란드	383	5529185000	765315	1122505000	146284	전체관람가	83	애니메이션	어드벤처	하동훈	최효종	김원효
591 	두 얼굴의 여친	이석훈			㈜화인웍스		쇼박스㈜미디어플렉스		2007-09-13	일반영화	장편	한국	382	4586849000	762112	1475473500	231913	15세이상관람가	117	멜로/로맨스	코미디	봉태규	정려원	
592 	리오 2	카를로스 살다나				이십세기폭스코리아(주)	이십세기폭스코리아(주)		2014-05-01	일반영화	장편	미국	598	5631146900	761404	1224776100	159313	전체관람가	101	애니메이션	코미디	제시 아이젠버그	앤 해서웨이	제이미 폭스
593 	모던보이	정지우			(주)케이앤제이엔터테인먼트,(주)시네마서비스		씨제이엔터테인먼트(주)		2008-10-02	일반영화	장편	한국	373	4971421000	758473	1695482500	246098	12세이상관람가	121	멜로/로맨스	드라마	박해일	김혜수	김남길
594 	판타스틱4	팀 스토리			마블 엔터테인먼트,이십세기폭스필름코퍼레이션		이십세기폭스코리아(주)		2005-08-11	일반영화	장편	미국	147	3522174000	757900	1107816500	198120	12세관람가	105	액션	SF	제시카 알바	줄리안 맥마흔	
595 	볼트	바이론 하워드	크리스 윌리엄스			한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜		2008-12-31	일반영화	장편	미국	299	4993959268	757337	2561818514	373046	전체관람가	96	애니메이션	코미디	존 트라볼타	마일리 사이러스	수지 에스먼
596 	그림형제 : 마르바덴 숲의 전설	테리 길리엄			디멘션 필름즈,메트로-골드윈-마이어	쇼이스트(주)	쇼이스트(주)		2005-11-17	일반영화	장편	미국	183	4587244000	744045	1739266500	274461	15세관람가	118	판타지	가족	히스 레저	맷 데이먼	
597 	주유소 습격사건 2	김상진			㈜감독의집,(주)시네마서비스		(주)시네마서비스		2010-01-21	일반영화	장편	한국	322	5466499511	742475	1378973500	176464	15세이상관람가	111	액션	코미디	지현우	조한선	박영규
598 	디파티드	마틴 스콜세지				워너브러더스 코리아(주)	워너브러더스 코리아(주)		2006-11-23	일반영화	장편	미국	210	3416653400	742276	1506787500	265304	15세이상관람가	149	드라마		레오나르도 디카프리오	맷 데이먼	
599 	싸이보그지만 괜찮아	박찬욱			(주)모호필름		씨제이엔터테인먼트(주)		2006-12-07	일반영화	장편	한국	289	3983788800	739481	1568423000	245379	12세이상관람가	105	SF	멜로/로맨스	임수정	정지훈	오달수
600 	시간 여행자의 아내	로버트 슈벤트케			뉴라인 시네마	(주)유니코리아문예투자	(주)넥스트엔터테인먼트월드(NEW)		2009-10-28	일반영화	장편	미국	300	5485456860	738963	2328463000	299300	12세이상관람가	107	SF	멜로/로맨스	에릭 바나	레이첼 맥아덤즈	
601 	김씨표류기	이해준			반짝반짝영화사(주)		(주)시네마서비스		2009-05-14	일반영화	장편	한국	288	4796220849	733931	1674506000	244182	12세이상관람가	116	코미디	드라마	정재영	정려원	
602 	더 파이브	정연식			(주)시네마서비스		씨제이이앤엠(주)		2013-11-14	일반영화	장편	한국	501	5343797000	731212	1474402500	192286	청소년관람불가	123	스릴러	드라마	김선아	마동석	신정근
603 	Mr.로빈 꼬시기	김상우			싸이더스 픽쳐스		롯데쇼핑㈜롯데엔터테인먼트		2006-12-07	일반영화	장편	한국	301	3990360200	730443	1408328000	218194	12세이상관람가	107	멜로/로맨스	코미디	엄정화	다니엘 헤니	
604 	순정만화	류장하			㈜렛츠필름		씨제이엔터테인먼트(주)		2008-11-27	일반영화	장편	한국	386	4674779333	730343	1698524333	250747	12세이상관람가	113	멜로/로맨스	코미디	유지태	이연희	채정안
605 	비스티 보이즈	윤종빈			(주)와이어투와이어필름		롯데쇼핑㈜롯데엔터테인먼트		2008-04-30	다양성(예술)영화	장편	한국	278	4785372500	727409	1874552500	273065	청소년관람불가	132	드라마		하정우	윤계상	윤진서
606 	푸시	폴 맥기건			서미트 엔터티인먼트	와이즈앤와이드엔터테인먼트(주)	롯데쇼핑㈜롯데엔터테인먼트		2009-03-19	일반영화	장편	미국	258	4817364578	726998	1553269500	222735	15세이상관람가	111	SF	스릴러	크리스 에반스	다코타 패닝	카밀라 벨
607 	슬픔보다 더 슬픈 이야기	원태연			(주)코어콘텐츠미디어		쇼박스㈜미디어플렉스		2009-03-11	일반영화	장편	한국	353	4774850499	724107	1319444000	189190	15세이상관람가	105	멜로/로맨스	드라마	권상우	이보영	이범수
608 	드림걸즈	빌 콘돈			드림웍스 SKG,파라마운트 픽쳐스	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)		2007-02-22	일반영화	장편	미국	132	4504550100	722923	2361560800	346622	15세이상관람가	129	드라마	뮤지컬	비욘세 놀즈	제이미 폭스	
609 	80일간의 세계 일주	프랑코 코라시			쇼박스㈜미디어플렉스	월트 디즈니 픽쳐스	쇼박스㈜미디어플렉스		2004-09-17	일반영화	장편	미국	104	3018488000	721858	999555000	175250	전체관람가	90	코미디	어드벤처	성룡	세실 드 프랑스	
610 	꽃피는 봄이 오면	류장하			(주)씨즈엔터테인먼트		영화사청어람(주)		2004-09-23	일반영화	장편	한국	117	3201626000	717618	1215633500	232771	12세관람가	128	드라마		최민식	김강우	장신영
611 	에비에이터	마틴 스콜세지			미라맥스 필름즈,포워드패스,워너 브러더스 픽쳐스	코리아픽쳐스(주)	코리아픽쳐스(주)		2005-02-18	일반영화	장편	독일	139	3953937000	715763	1808880000	292612	15세관람가	169	드라마	어드벤처	레오나르도 디카프리오	케이트 블란쳇	
612 	안녕, 헤이즐	조쉬 분				이십세기폭스코리아(주)	이십세기폭스코리아(주)		2014-08-13	일반영화	장편	미국	323	5570121400	714964	1825975700	225358	12세이상관람가	126	드라마	멜로/로맨스	쉐일린 우들리	안셀 엘고트	냇 울프
613 	풍산개	전재홍			(주)김기덕 필름		(주)넥스트엔터테인먼트월드(NEW)		2011-06-23	일반영화	장편	한국	286	5395019500	714102	1709358000	217988	청소년관람불가	121	드라마		윤계상	김규리	
614 	인투 더 스톰	스티븐 쿼일				워너브러더스 코리아(주)	워너브러더스 코리아(주)		2014-08-28	일반영화	장편	미국	585	5572350553	713137	1423745853	173935	12세이상관람가	89	액션	스릴러	리처드 아미티지	사라 웨인 콜리스	제레미 섬터
615 	고질라	가렛 에드워즈				워너브러더스 코리아(주)	워너브러더스 코리아(주)		2014-05-15	일반영화	장편	미국	610	5972847963	709734	1655498463	180321	12세이상관람가	123	액션	SF	애런 존슨	브라이언 크랜스톤	엘리자베스 올슨
616 	가을로	김대승			㈜영화세상		롯데쇼핑㈜롯데엔터테인먼트		2006-10-26	일반영화	장편	한국	255	3653445400	707820	1298163000	217517	15세관람가	117	멜로/로맨스	드라마	유지태	엄지원	
617 	마음이2	이정철			북경금전영업유한공사,(주)씨엘엔터테인먼트,㈜화인웍스		롯데쇼핑㈜롯데엔터테인먼트		2010-07-21	다양성(예술)영화	장편	한국	261	4705692210	707748	988226500	143504	전체관람가	92	드라마		성동일	김정태	송중기
618 	라스베가스에서만 생길 수 있는 일	톰 바우건				이십세기폭스코리아(주)	이십세기폭스코리아(주)		2008-05-29	일반영화	장편	미국	273	4604235334	704834	1859935834	273802	15세이상관람가	98	멜로/로맨스	코미디	카메론 디아즈	애쉬튼 커처	
619 	스위니 토드 : 어느 잔혹한 이발사 이야기	팀 버튼				워너브러더스 코리아(주)	워너브러더스 코리아(주)		2008-01-17	일반영화	장편	미국	246	4761820000	704058	2320324000	331508	청소년관람불가	116	뮤지컬	스릴러	조니 뎁	헬레나 본햄 카터	
620 	천일의 스캔들	저스틴 채드윅				유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)		2008-03-20	일반영화	장편	미국	131	4599546001	700095	2149808001	314614	15세이상관람가	115	사극	멜로/로맨스	나탈리 포트만	스칼렛 요한슨	에릭 바나
621 	내 깡패 같은 애인	김광식			(주)제이케이필름		롯데쇼핑㈜롯데엔터테인먼트		2010-05-20	다양성(예술)영화	장편	한국	248	5109441315	699973	1408953500	182817	15세이상관람가	105	드라마	멜로/로맨스	박중훈	정유미	노승범
622 	6월의 일기	임경수			(주)필름앤픽쳐스 		쇼박스㈜미디어플렉스		2005-12-01	일반영화	장편	한국	169	3645962000	697980	1124244000	175472	15세관람가	106	드라마	범죄	신은경	김윤진	문정혁
623 	트랜센던스	월리 피스터				(유)조이앤컨텐츠그룹	롯데쇼핑㈜롯데엔터테인먼트		2014-05-14	일반영화	장편	미국	417	5478201500	696412	2099194700	256854	12세이상관람가	119	SF	액션	조니 뎁	레베카 홀	모건 프리먼
624 	피터 팬	P.J. 호건				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜		2004-01-16	일반영화	장편	미국	15	850564000	694782	144095000	190571	전체관람가	113	어드벤처	가족	레이첼 허드-우드	제이슨 아이삭스	제레미 섬터
625 	님스 아일랜드	마크 레빈				(주)유니코리아문예투자	롯데쇼핑㈜롯데엔터테인먼트		2008-07-17	일반영화	장편	미국	266	4273735000	694728	1207202500	186728	전체관람가	91	코미디	어드벤처	제라드 버틀러 		
626 	통증	곽경택			(주)트로피엔터테인먼트,(주)영화사축제		롯데쇼핑㈜롯데엔터테인먼트		2011-09-07	일반영화	장편	한국	317	5207167000	693101	1461450500	184530	15세이상관람가	105	멜로/로맨스	드라마	권상우	정려원	
627 	여교수의 은밀한 매력	이하			엔젤언더그라운드(주),(주)엠케이픽처스 		(주)엠케이픽처스 		2006-03-16	일반영화	장편	한국	203	3926917300	691735	1598374800	222785	18세관람가	104	코미디		문소리	지진희	
628 	분노의 질주: 더 오리지널	저스틴 린				유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)		2009-04-02	일반영화	장편	미국	289	4598492639	685746	1439667000	202705	15세이상관람가	106	액션		빈 디젤	폴 워커	미쉘 로드리게즈
629 	스텝 업 3D	존 추			오프스프링	(주)나이너스엔터테인먼트	(주)화앤담이엔티		2010-08-05	일반영화	장편	미국	253	7462604919	682712	2419206500	214074	12세이상관람가	107	드라마	멜로/로맨스	샤니 빈슨	릭 말람브리	애덤 G. 세바니
630 	스파이더위크가의 비밀	마크 S. 워터스				씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)		2008-02-14	일반영화	장편	미국	172	4151259500	682525	1289418500	202462	전체관람가	95	어드벤처	판타지	프레디 하이모어 	사라 볼거	
631 	천하장사 마돈나	이해영,이해준			싸이더스 픽쳐스		씨제이엔터테인먼트(주)		2006-08-31	일반영화	장편	한국	172	3552276700	678930	1479472400	248096	15세관람가	116	드라마	코미디	류덕환	백윤식	김윤석
632 	기담	정 식,정범식			영화사 도로시(주)		㈜스튜디오이쩜영		2007-08-01	다양성(예술)영화	장편	한국	195	4124465500	678546	1336393000	208627	15세이상관람가	98	공포	미스터리	김보경	진구	김태우
633 	리턴	이규만			(주)아름다운영화사,로터스필름(주)		씨제이엔터테인먼트(주)		2007-08-08	일반영화	장편	한국	235	4271881500	677939	1581376000	235872	청소년관람불가	113	미스터리	스릴러	김명민	유준상	김태우
634 	Mr.히치: 당신을 위한 데이트 코치	앤디 테넌트			오버브룩 엔터테인먼트	소니픽쳐스릴리징코리아	소니픽쳐스릴리징코리아		2005-03-11	일반영화	장편	미국	142	3966502500	675444	2097442000	331665	12세관람가	118	멜로/로맨스	코미디	윌 스미스	에바 멘데스	
635 	몬스터 vs 에이리언	롭 레터맨	콘래드 베논		드림웍스 애니메이션	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)		2009-04-23	일반영화	장편	미국	324	4622178693	672285	1500897000	196845	전체관람가	94	애니메이션	어드벤처	리즈 위더스푼	르네 젤위거	휴 로리
636 	고양이: 죽음을 보는 두 개의 눈	변승욱			파인하우스필름㈜		(주)넥스트엔터테인먼트월드(NEW)		2011-07-07	일반영화	장편	한국	304	4767098000	670295	1119188000	149463	15세이상관람가	106	공포		박민영	김동욱	김예론
637 	연애, 그 참을 수 없는 가벼움	김해곤			(주)굿플레이어		씨제이엔터테인먼트(주)		2006-09-07	일반영화	장편	한국	203	3611915500	668104	1447762000	228954	18세관람가	125	멜로/로맨스	드라마	장진영	김승우	
638 	카	존 라세터				브에나비스타인터내셔널코리아	브에나비스타인터내셔널코리아		2006-07-20	일반영화	장편	미국	211	3283728000	665303	1228105000	229096	전체관람가	121	애니메이션	코미디	오엔 윌슨	폴 뉴먼	
639 	하늘에서 음식이 내린다면	필 로드	크리스 밀러		소니 픽쳐스 애니메이션	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜		2010-02-11	일반영화	장편	미국	281	5500218152	665096	1686106500	187169	전체관람가	90	애니메이션	가족	빌 하더	제임스 칸	앤디 샘버그
640 	리핑 10개의 재앙	스티븐 홉킨스			워너 브러더스 픽쳐스,다크 캐슬 엔터테인먼트	워너브러더스 코리아(주)	워너브러더스 코리아(주)		2007-04-19	일반영화	장편	미국	150	4225944500	664000	1642936000	255253	15세이상관람가	99	공포	스릴러	힐러리 스웽크	안나소피아 롭	
641 	인어 공주	박흥식			나우필름(주)		씨제이엔터테인먼트(주)		2004-06-30	다양성(예술)영화	장편	한국	105	2828877500	661679	1340307000	258368	전체관람가	110	드라마		전도연	고두심	박해일
642 	명탐정 코난 : 칠흑의 추적자	야마모토 타이치로				(주)온미디어	에이원엔터테인먼트		2009-07-29	일반영화	장편	일본	200	4248881868	661550	918625000	137471	전체관람가	110	애니메이션	미스터리	타카야마 미나미	야마지키 와카나	
643 	신데렐라	봉만대			(주)미니필름		쇼박스㈜미디어플렉스		2006-08-17	일반영화	장편	한국	181	3334168500	659122	956335500	153480	15세관람가	94	공포		도지원	신세경	이기우
644 	삼총사 3D	폴 W.S. 앤더슨				롯데쇼핑㈜롯데엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트		2011-10-12	일반영화	장편	독일	510	5710755500	657564	2047683000	217628	12세이상관람가	110	액션	어드벤처	로건 레먼	올랜도 블룸	밀라 요보비치
645 	실종	김성홍			활동사진,모션픽쳐		(주)시너지하우스 (시너지)		2009-03-19	일반영화	장편	한국	257	4415413589	654587	1084313000	150809	청소년관람불가	98	범죄	스릴러	문성근	추자현	전세홍
646 	엔더스 게임	개빈 후드				데이지엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트		2013-12-31	일반영화	장편	미국	460	4926715000	654480	1564711500	199025	12세이상관람가	114	SF	액션	해리슨 포드	아사 버터필드	헤일리 스테인펠드
647 	아이 엠 넘버 포	D.J. 카루소				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜		2011-02-24	일반영화	장편	미국	284	4955215500	654386	1576235000	197802	12세이상관람가	103	액션	SF	티모시 올리펀트	알렉스 페티퍼	
648 	여고괴담 5	이종용			(주)씨네이천		롯데쇼핑㈜롯데엔터테인먼트		2009-06-18	일반영화	장편	한국	318	4205826795	652097	1087081000	157643	15세이상관람가	88	공포	스릴러	오연서	손은서	장경아
649 	울학교 이티	박광춘			㈜커리지필름		에스케이텔레콤(주)		2008-09-11	일반영화	장편	한국	298	4156170833	651439	1076953333	160113	15세이상관람가	120	드라마	코미디	김수로	문채원	박보영
650 	오션스	자끄 페렝	자크 클로드		가라티필름	(주)유니코리아문예투자	롯데쇼핑㈜롯데엔터테인먼트		2010-07-28	다양성(예술)영화	장편	프랑스	217	4473889375	650994	1145436000	158175	전체관람가	87	다큐멘터리	드라마	정보석	배한성	진지희
651 	스텔스	롭 코헨			콜럼비아 픽쳐스 코포레이션	소니픽쳐스릴리징코리아	소니픽쳐스릴리징코리아		2005-07-28	일반영화	장편	미국	175	3364375000	650160	1102089000	174680	12세관람가	116	액션	어드벤처	제시카 비엘	조쉬 루카스	제이미 폭스
652 	프레스티지	크리스토퍼 놀란				워너브러더스 코리아(주)	워너브러더스 코리아(주)		2006-11-02	일반영화	장편	미국	119	2861257500	646184	1592898000	338844	15세관람가	126	스릴러		휴 잭맨	크리스찬 베일	
653 	눈먼자들의 도시	페르난도 메이렐레스				컬쳐메이커스엔터테인먼트	싸이더스 픽쳐스		2008-11-20	일반영화	장편	캐나다	238	4356692000	645218	1700769000	241012	청소년관람불가	120	드라마	스릴러	줄리안 무어	마크 러팔로	
654 	리오	카를로스 살다나				이십세기폭스코리아(주)	이십세기폭스코리아(주)		2011-07-27	일반영화	장편	미국	333	5022007500	645191	1246908000	148653	전체관람가	96	애니메이션	어드벤처	송중기	박보영	
655 	아파트	안병기			(주)토일렛픽쳐스		쇼박스㈜미디어플렉스		2006-07-06	일반영화	장편	한국	204	3460497800	644893	1241110500	188211	18세관람가	90	공포		고소영	강성진	장희진
