Number	Movie_Title	Director1	Production_Company	Importer	Distributor1	Release_Date	Movie_Category	Movie_Type	Nationality	National_Screen_Number	National_Revenue	National_Spectator_Number	Seoul_Revenue	Seoul_Spectator_Number
446	007 카지노 로얄	마틴 캠벨		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2006-12-21	일반영화	장편	미국	334	6267161700	1088307	2217057000	334884
447	그때 그 사람들	임상수	(주)엠케이픽처스 		(주)엠케이픽처스 	2005-02-03	일반영화	장편	한국	140	5777895500	1083962	2144046000	338025
448	마루 밑 아리에티	요네바야시 히로마사	스튜디오 지브리	대원미디어㈜	씨제이엔터테인먼트(주)	2010-09-09	일반영화	장편	일본	337	7773942884	1083746	2826512500	373176
449	내 남자의 로맨스	박제현	메이필름(주)		씨제이엔터테인먼트(주)	2004-07-16	일반영화	장편	한국	102	4895975500	1083556	2127047000	418579
450	가디언즈	피터 램지	드림웍스 애니메이션	씨제이이앤엠(주)	씨제이이앤엠(주)	2012-11-29	일반영화	장편	미국	470	8212243000	1075584	2372102000	283476
451	더 울버린	제임스 맨골드		이십세기폭스코리아(주)	이십세기폭스코리아(주)	2013-07-25	일반영화	장편	미국	707	7849518000	1075333	2418747500	311251
452	섹스 앤 더 시티	마이클 패트릭 킹		(주)태원엔터테인먼트	에스케이텔레콤(주)	2008-06-05	일반영화	장편	미국	361	7133337600	1074321	3434823000	495297
453	블레이드 3	데이빗 S. 고이어	뉴라인 시네마	쇼박스㈜미디어플렉스	쇼박스㈜미디어플렉스	2004-12-15	일반영화	장편	미국	131	4736231500	1069643	1493440000	286894
454	새드무비	권종관	(주)아이필름코퍼레이션		롯데쇼핑㈜롯데엔터테인먼트	2005-10-20	일반영화	장편	한국	262	5628200500	1066765	2003883000	323757
455	노잉	알렉스 프로야스		(유)마스엔터테인먼트코리아	(주)넥스트엔터테인먼트월드(NEW)	2009-04-16	일반영화	장편	미국	394	6984051785	1063955	2424294000	351082
456	수상한 고객들	조진모	(주)메이스엔터테인먼트		씨제이이앤엠(주)	2011-04-14	일반영화	장편	한국	411	7953428000	1059350	2669850500	339494
457	남극일기	임필성	㈜미로비젼,㈜싸이더스픽쳐스		쇼박스㈜미디어플렉스	2005-05-19	일반영화	장편	한국	244	5478113500	1057311	2097463500	323335
458	빨간모자의 진실	코리 에드워즈	더 웨인스테인 컴퍼니	쇼박스㈜미디어플렉스	쇼박스㈜미디어플렉스	2006-04-06	일반영화	장편	미국	164	5753533100	1057223	2109695100	300873
459	라따뚜이	브래드 버드	픽사 애니메이션 스튜디오,월트 디즈니 픽쳐스	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2007-07-25	일반영화	장편	미국	261	6342436400	1054886	2714340900	422379
460	스텝업 2 : 더 스트리트	존 추		㈜스튜디오이쩜영	㈜스튜디오이쩜영	2008-03-13	일반영화	장편	미국	278	6856702000	1052379	2484794500	361893
461	업	피트 닥터	월트 디즈니 픽쳐스,픽사 애니메이션 스튜디오	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2009-07-29	일반영화	장편	미국	374	7652994608	1047327	3189205000	411959
462	시크릿	윤재구	(주)그린피쉬픽쳐스 ,(주)제이케이필름		씨제이엔터테인먼트(주)	2009-12-03	일반영화	장편	한국	397	7979591607	1046787	2678001500	335889
463	동창생	박홍수	더램프(주),(주)황금물고기 		쇼박스㈜미디어플렉스	2013-11-06	일반영화	장편	한국	660	6983395126	1044522	1583311126	221965
464	슈퍼  배드	피에르 코핀	일루미네이션 엔터테인먼트	유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2010-09-16	일반영화	장편	미국	321	9873975412	1043904	2753597000	272176
465	마음이...	오달균	㈜화인웍스		쇼박스㈜미디어플렉스	2006-10-26	일반영화	장편	한국	239	4639709300	1042166	1157299000	215452
466	점박이:한반도의 공룡3D	한상호	(주)드림써치C&C,한국교육방송공사 EBS,올리브스튜디오		씨제이이앤엠(주)	2012-01-26	일반영화	장편	한국	457	9621468000	1040636	1776299500	187715
467	삼국지:용의 부활	이인항	(주)태원엔터테인먼트		에스케이텔레콤(주)	2008-04-03	일반영화	장편	중국	322	6660263334	1036172	2118435834	315310
468	이프 온리	길 정거	인터미디어필름,아웃로 프로덕션즈,테이피스트리 필름		씨제이엔터테인먼트(주)	2004-10-29	일반영화	장편	미국	82	5521046000	1031075	2561411000	454606
469	파괴된 사나이	우민호	아이러브시네마,(주)아이필름코퍼레이션		(주)시너지하우스 (시너지)	2010-07-01	일반영화	장편	한국	190	7820538614	1030285	2500843000	314477
470	오직 그대만	송일곤	(주)51k,(주)에이치비엔터테인먼트		쇼박스㈜미디어플렉스	2011-10-20	일반영화	장편	한국	435	7591008500	1027622	2118827000	271148
471	개구쟁이 스머프	라자 고스넬		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2011-08-11	일반영화	장편	미국	399	7722534000	1027438	1962882000	239071
472	우아한 세계	한재림	(주)루씨필름		롯데쇼핑㈜롯데엔터테인먼트	2007-04-05	일반영화	장편	한국	405	6161685500	1025781	2316245000	351965
473	김관장 대 김관장 대 김관장	박성균	(주)태원엔터테인먼트		쇼박스㈜미디어플렉스	2007-02-08	일반영화	장편	한국	355	5575404600	1025618	1497109500	234461
474	데이지	유위강	(주)아이필름코퍼레이션,베이직픽쳐스		쇼박스㈜미디어플렉스	2006-03-09	일반영화	장편	한국	299	5754065300	1023096	2098026300	309926
475	에라곤	스테판 팡메이어		이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2007-01-11	일반영화	장편	미국	276	5360017500	1022140	1675781000	274366
476	야수	김성수	㈜팝콘필름		쇼박스㈜미디어플렉스	2006-01-12	일반영화	장편	한국	299	5339725500	1016152	2054365500	314482
477	본 레거시	토니 길로이		유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2012-09-06	일반영화	장편	미국	585	7412233000	1015711	2657138000	347976
478	밴티지 포인트	피트 트래비스		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2008-02-28	일반영화	장편	미국	288	6654718499	1015287	2368125999	345107
479	향수 : 어느 살인자의 이야기	톰 티크베르		(주)누리픽쳐스	롯데쇼핑㈜롯데엔터테인먼트	2007-03-22	일반영화	장편	영국	237	5843903000	1011710	2185324500	337113
480	심장이 뛴다	윤재근	(주)오죤필름,(유)대결문화산업전문회사		롯데쇼핑㈜롯데엔터테인먼트	2011-01-05	일반영화	장편	한국	445	7538083500	1006947	2315715000	293832
481	셔터 아일랜드	마틴 스콜세지	파라마운트 픽쳐스	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2010-03-18	일반영화	장편	미국	275	7528114276	1006833	2935605000	373974
482	라푼젤	네이슨 그레노		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2011-02-10	일반영화	장편	미국	328	10106348800	1006075	3838442500	361383
483	분신사바	안병기	(주)소프트랜드 영상 사업부 에이포스트 픽쳐스		브에나비스타인터내셔널코리아	2004-08-05	일반영화	장편	한국	97	3828714000	1001125	1172338000	301322
484	오스트레일리아	바즈 루어만		이십세기폭스코리아(주)	이십세기폭스코리아(주)	2008-12-10	일반영화	장편	미국	433	6471511555	998528	2361580500	347547
485	인크레더블 헐크	루이스 리테리어		유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2008-06-12	일반영화	장편	미국	360	6422773000	992064	2001776000	292360
486	강력 3반	손희창	(주)씨네넷		롯데쇼핑㈜롯데엔터테인먼트	2005-09-29	일반영화	장편	한국	174	5053205500	989573	1035333000	169045
487	방가? 방가!	육상효	㈜상상역엔터테인먼트		(주)시너지하우스 (시너지)	2010-09-30	다양성(예술)영화	장편	한국	259	7129363141	989021	1867346500	244586
488	방황하는 칼날	이정호	(주)에코필름		씨제이이앤엠(주)	2014-04-10	일반영화	장편	한국	594	7804390800	987132	1950201400	234776
489	시체가 돌아왔다	우선호	(주)씨네이천		씨제이이앤엠(주)	2012-03-29	일반영화	장편	한국	435	7357623000	986547	1804931500	228284
490	게이샤의 추억	롭 마샬	콜럼비아 픽쳐스 코포레이션,드림웍스 SKG	소니픽쳐스릴리징코리아	소니픽쳐스릴리징코리아	2006-02-02	일반영화	장편	미국	179	5337760000	983635	2305162500	375553
491	파퍼씨네 펭귄들	마크 워터스		이십세기폭스코리아(주)	이십세기폭스코리아(주)	2011-09-07	일반영화	장편	미국	333	7043993000	979739	2328595500	306323
492	로보캅	호세 파딜라		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2014-02-13	일반영화	장편	미국	627	7299641958	979509	2235608658	282862
493	원더풀 라디오	권칠인	(주)영화사아이비젼,주식회사 대명문화공장		쇼박스㈜미디어플렉스	2012-01-05	일반영화	장편	한국	474	7193596000	977470	2018583000	259784
494	내 사랑	이한	(주)오죤필름		쇼박스㈜미디어플렉스	2007-12-18	일반영화	장편	한국	240	6315244000	977401	432940833	358449
495	돈 크라이 마미	김용한	(주)씨네마골뱅이		(주)에스비에스콘텐츠허브	2012-11-22	일반영화	장편	한국	444	6808882099	975462	1607844582	220683
496	바보	김정권	(주)와이어투와이어필름		씨제이엔터테인먼트(주)	2008-02-28	일반영화	장편	한국	263	6301818833	974554	1908720333	279453
497	에픽 : 숲속의 전설 	크리스 웻지		이십세기폭스코리아(주)	이십세기폭스코리아(주)	2013-08-07	일반영화	장편	미국	471	6702639000	973703	1630346000	218343
498	프로메테우스	리들리 스콧		이십세기폭스코리아(주)	이십세기폭스코리아(주)	2012-06-06	일반영화	장편	미국	521	8583886099	970275	3548689099	372315
499	전국노래자랑	이종필	(주)인앤인픽쳐스		롯데쇼핑㈜롯데엔터테인먼트	2013-05-01	일반영화	장편	한국	581	6606589000	963634	1536557000	217914
500	쿵푸 허슬	주성치	콜럼비아 픽쳐스 필름 프로덕션,베이징 필름 스튜디오,차이나필름그룹,후아이브라더스픽처스,성휘해외유한공사	소니픽쳐스릴리징코리아	소니픽쳐스릴리징코리아	2005-01-14	일반영화	장편	중국	148	5309283000	963580	2284269500	357292
501	백야행	박신우	(주)시네마서비스,폴룩스픽쳐스(주)		(주)시네마서비스	2009-11-19	일반영화	장편	한국	398	7170684217	956767	2633582000	334942
502	잭 더 자이언트 킬러	브라이언 싱어		워너브러더스 코리아(주)	워너브러더스 코리아(주)	2013-02-28	일반영화	장편	미국	507	7376481000	956154	2098720500	250941
503	황후화	장예모,장이모우		㈜크리에이티브리더스그룹에이트	(주)시네마서비스	2007-01-25	일반영화	장편	홍콩	256	5646349700	954387	2145596000	314570
504	스텝업4 : 레볼루션	스콧 스피어		(주)나이너스엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트	2012-08-15	일반영화	장편	미국	281	7157894000	953871	2323462500	290400
505	트랜스포터-라스트 미션	올리베에 메가턴	TF1 필름 프로덕션	데이지엔터테인먼트	(주)시너지하우스 (시너지)	2009-01-08	일반영화	장편	프랑스	266	6336730334	951855	1808765000	258105
506	그는 당신에게 반하지 않았다	켄 콰피스	뉴라인 시네마	(주)유니코리아문예투자	(주)넥스트엔터테인먼트월드(NEW)	2009-02-12	일반영화	장편	미국	354	6471531867	949324	3146805500	446348
507	상사부일체	심승보	(주)두손시네마		이십세기폭스코리아(주)	2007-09-19	일반영화	장편	한국	313	5807823500	947510	1263372500	219940
508	새미의 어드벤쳐	벤 스타센	엔웨이브필름	데이지엔터테인먼트	씨제이엔터테인먼트(주)	2010-12-15	일반영화	장편	벨기에	311	8919480155	946615	2211410500	218696
509	오로라 공주	방은진	(주)이스트필름		(주)시네마서비스	2005-10-27	일반영화	장편	한국	185	5365343000	946372	1967243000	302070
510	GP 506	공수창	(주)보코픽쳐스		쇼박스㈜미디어플렉스	2008-04-03	일반영화	장편	한국	355	6316842000	945185	2001912500	284443
511	월터의 상상은 현실이 된다	벤 스틸러		이십세기폭스코리아(주)	이십세기폭스코리아(주)	2013-12-31	일반영화	장편	미국	378	6878941799	941893	2822983799	371403
512	크루즈 패밀리	커크 드 미코		씨제이이앤엠(주)	씨제이이앤엠(주)	2013-05-16	일반영화	장편	미국	525	6540060500	941615	1762804500	238425
513	일본침몰	히구치 신지		거원시네마(주)	(주)시네마서비스	2006-08-31	일반영화	장편	일본	211	4672989200	940560	1510444500	245740
514	오만과 편견	조 라이트	워킹 타이틀 필름	UIP코리아	UIP코리아	2006-03-24	일반영화	장편	미국	157	5528388400	938874	2781531900	420814
515	평행이론	권호영	(주)다세포클럽,씨제이엔터테인먼트(주)		씨제이엔터테인먼트(주)	2010-02-18	일반영화	장편	한국	272	6905140883	937029	1959571500	250326
516	투 가이즈	박헌수	(주)에스씨에스엔터테인먼트		쇼이스트(주)	2004-07-09	일반영화	장편	한국	93	3584851500	931000	1130091000	251859
517	뽀로로 극장판 슈퍼썰매 대모험	박영균	(주)오콘,중국오락문화투자유한회사		씨제이이앤엠(주)	2013-01-23	일반영화	장편	한국	459	6819979500	929985	1575195500	201918
518	뉴월드	테렌스 맬릭	뉴라인 시네마		쇼이스트(주)	2005-11-25	일반영화	장편	미국	0	0	925154	0	328213
519	샤크	비키 젠슨	드림웍스 애니메이션,드림웍스 SKG	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2005-01-07	일반영화	장편	미국	185	5582895000	925154	2215382500	328213
520	슈퍼배드 2	크리스 리노드		유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2013-09-12	일반영화	장편	미국	421	6359208000	925108	1797102000	244423
521	아이스 에이지 2	카를로스 살다나	이십세기폭스애니메이션,블루스카이스튜디오	이십세기폭스코리아(주)	이십세기폭스코리아(주)	2006-04-20	일반영화	장편	미국	162	1564015900	924050	725600900	289970
522	배트맨 비긴즈	크리스토퍼 놀란	워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2005-06-24	일반영화	장편	미국	228	5552226000	921300	869244	400574
523	주먹왕 랄프	리치 무어		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2012-12-19	일반영화	장편	미국	361	6589435500	918183	1831749500	239435
524	투어리스트	플로리안 헨켈 폰 도너스마르크	지케이필름	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2010-12-09	일반영화	장편	미국	439	6834421095	915359	2678458500	343506
525	크로싱	김태균	(주)캠프비		(주)벤티지홀딩스	2008-06-26	일반영화	장편	한국	303	5657365667	907255	1934661500	299446
526	헷지	팀 존슨	드림웍스 애니메이션	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2006-05-31	일반영화	장편	미국	276	5043700100	905983	1707134600	269208
527	예의없는 것들	박철희	튜브픽쳐스(주)		롯데쇼핑㈜롯데엔터테인먼트	2006-08-24	일반영화	장편	한국	192	4886772800	904802	1737358100	278757
528	썬더와 마법저택	벤 스타센		씨제이이앤엠(주)	씨제이이앤엠(주)	2013-12-24	일반영화	장편	벨기에	422	6115343500	904408	1277758000	179319
529	마이 파더	황동혁	시네라인투(주),시네라인㈜인네트		롯데쇼핑㈜롯데엔터테인먼트	2007-09-06	일반영화	장편	한국	342	5641848000	902090	1561764000	240165
530	점쟁이들	신정원	㈜사람엔터테인먼트,(주)다세포클럽		(주)넥스트엔터테인먼트월드(NEW)	2012-10-03	일반영화	장편	한국	479	6345293500	900054	1468531000	198356
531	누구나 비밀은 있다	장현수	(주)태원엔터테인먼트		(주)시네마서비스	2004-07-30	일반영화	장편	한국	88	3529353500	896000	1507195500	346150
532	타이탄의 분노	조나단 리브스만		워너브러더스 코리아(주)	워너브러더스 코리아(주)	2012-03-29	일반영화	장편	미국	535	7591124500	893027	2199173000	239530
533	방과후 옥상	이석훈	씨네온엔터테인먼트(주)		(주)시네마서비스	2006-03-16	일반영화	장편	한국	173	4817252500	891417	1507403000	233167
534	베오울프	로버트 제멕키스	이미지무버,워너 브러더스 픽쳐스,파라마운트 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2007-11-14	일반영화	장편	미국	326	6791108000	890100	2530019000	341300
535	몬스터 호텔	겐디 타르타코프스키		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2013-01-17	일반영화	장편	미국	489	6080221500	884885	1313395000	178356
536	돈 텔 파파	이상훈	기획시대(주)		씨제이엔터테인먼트(주)	2004-09-03	일반영화	장편	한국	81	3481025000	880744	693689500	151938
537	아이스 에이지 3: 공룡시대	카를로스 살다나	블루스카이스튜디오	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2009-08-12	일반영화	장편	미국	367	6189838667	877398	1823491500	239234
538	메가마인드	톰 맥그라스		씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2011-01-13	일반영화	장편	미국	414	8688175500	875481	3275217500	304441
539	블랙	산제이 렐라 반살리		(주)유니코리아문예투자	(주)넥스트엔터테인먼트월드(NEW)	2009-08-27	다양성(예술)영화	장편	인도	248	6254367609	874913	2340253000	310842
540	디스 민즈 워	맥지		이십세기폭스코리아(주)	이십세기폭스코리아(주)	2012-02-29	일반영화	장편	미국	351	6661435000	873396	2606658000	326981
541	스카이 라인	콜린 스트로즈	블랙먼데이필름서비스	㈜코리아스크린	(주)화앤담이엔티	2010-11-24	일반영화	장편	미국	431	6414538349	873079	1942653500	250264
542	고死 두 번째 이야기: 교생실습	유선동	(주)코어콘텐츠미디어		(주)넥스트엔터테인먼트월드(NEW)	2010-07-28	일반영화	장편	한국	320	5901045987	872594	1154161500	162101
543	열한시	김현석	(주)파레토웍스,씨제이이앤엠(주)		씨제이이앤엠(주)	2013-11-28	일반영화	장편	한국	512	6097792000	870785	1703900000	230557
544	몬스터 대학교	댄 스캔론		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2013-09-12	일반영화	장편	미국	381	5873833500	870065	1275663500	177219
545	개구쟁이 스머프 2	라자 고스넬		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2013-08-01	일반영화	장편	미국	478	5655415500	869805	1187088500	173681
546	미확인 동영상 : 절대클릭금지	김태경	(유)에이디사공육,(주)다세포클럽		쇼박스㈜미디어플렉스	2012-05-30	일반영화	장편	한국	361	5939840500	867386	1053713000	145988
547	맹부삼천지교	김지영	코리아 엔터테인먼트		씨제이엔터테인먼트(주)	2004-03-26	일반영화	장편	한국	56	1424995500	860044	261490000	227675
548	레모니 스니켓의 위험한 대결	브래드 실버링	드림웍스 SKG	(주)프리미어엔터테인먼트	씨제이엔터테인먼트(주)	2005-01-28	일반영화	장편	미국	134	4759572000	858847	1876091500	298965
549	숙명	김해곤	엠케이디케이		씨제이엔터테인먼트(주)	2008-03-20	일반영화	장편	한국	341	5680873500	858215	1582293500	230045
550	올드미스다이어리	김석윤	싸이더스 픽쳐스,청년필름(주)		롯데쇼핑㈜롯데엔터테인먼트	2006-12-21	일반영화	장편	한국	179	4750247000	856090	1608445000	248992
551	디스트릭트 9	닐 블롬캠프		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2009-10-15	일반영화	장편	미국	320	6518492154	853859	2619214500	327328
552	스타더스트	매튜 본	파라마운트 픽쳐스	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2007-08-15	일반영화	장편	미국	316	6420372500	853441	2619214500	313886
553	만추	김태용	(주)에스씨에스엔터테인먼트		씨제이엔터테인먼트(주)	2011-02-17	일반영화	장편	한국	444	6300514500	844103	2403086500	306882
554	오션스 트웰브	스티븐 소더버그	워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2005-01-07	일반영화	장편	호주	152	5185799000	842000	2395056000	388518
555	이대로, 죽을 순 없다(Short Time)	이영은	(주)매쉬필름		쇼이스트(주)	2005-08-18	일반영화	장편	한국	164	4266661500	838419	1243464000	192770
556	아는 여자	장진	필름있수다		(주)시네마서비스	2004-06-25	일반영화	장편	한국	81	4686300500	838000	1697954500	390000
557	존 카터: 바숨 전쟁의 서막 	앤드류 스탠든		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2012-03-08	일반영화	장편	미국	508	7218670500	837426	1990997500	211589
558	마린보이	윤종석	리얼라이즈픽쳐스(주)		씨제이엔터테인먼트(주)	2009-02-05	일반영화	장편	한국	340	5565284169	837059	1455046000	206861
559	슈퍼스타 감사용	김종현	싸이더스 픽쳐스		씨제이엔터테인먼트(주)	2004-09-17	일반영화	장편	한국	128	4073017000	834706	1800295500	330396
560	체포왕	임찬익	(주)씨네이천		롯데쇼핑㈜롯데엔터테인먼트	2011-05-04	일반영화	장편	한국	407	6146610500	831804	1785434000	228733
561	어디선가 누군가에 무슨일이 생기면 틀림없이 나타난다 홍반장	강석범	㈜제니스엔터테인먼트		(주)시네마서비스	2004-03-12	일반영화	장편	한국	28	1158210500	830000	335878500	341000
562	데자뷰	토니 스콧		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2007-01-11	일반영화	장편	미국	201	4763669500	829891	1934247500	324030
563	로봇(애니)	카를로스 살다나	블루스카이스튜디오,투엔티쓰 센츄리-폭스 필름 코퍼레이션	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2005-07-28	일반영화	장편	미국	176	3748779500	826100	1285364000	230100
564	남쪽으로 튀어	임순례	(주)영화사거미,필름트레인		롯데쇼핑㈜롯데엔터테인먼트	2013-02-06	일반영화	장편	한국	428	5907297500	821918	1479390000	198233
565	뮌헨	스티븐 스필버그	유니버셜 픽쳐스,드림웍스 SKG,엠블린엔터테인먼트	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2006-02-10	일반영화	장편	미국	164	4861581300	817155	2139461800	327937
566	틴틴 : 유니콘호의 비밀	스티븐 스필버그		롯데쇼핑㈜롯데엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트	2011-12-07	일반영화	장편	미국	644	6721820500	814023	2231009500	254024
567	콜래트럴	마이클 만	드림웍스 SKG,파라마운트 픽쳐스	UIP코리아	UIP코리아	2004-10-15	일반영화	장편	미국	114	3754176000	814000	1756217500	324481
568	외출	허진호	블루스톰(주)		쇼이스트(주)	2005-09-07	일반영화	장편	한국	244	4377147500	809191	1852865000	287650
569	모범시민	F. 게리 그레이		데이지엔터테인먼트	(주)시너지하우스 (시너지)	2009-12-10	일반영화	장편	미국	309	5933122225	807486	1989985500	257733
570	써로게이트	조나단 모스토우		한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2009-10-01	일반영화	장편	미국	224	6020292355	806924	2106905000	269912
571	밀리언 달러 베이비 	클린트 이스트우드	워너 브러더스 픽쳐스,레이크쇼어 엔터테인먼트,말파소 프로덕션즈	(주)튜브엔터테인먼트	(주)튜브엔터테인먼트	2005-03-10	다양성(예술)영화	장편	미국	159	4674787179	806891	2293221500	361085
572	킹스 스피치	톰 후퍼		(주)영화사그랑프리	(주)화앤담이엔티	2011-03-17	일반영화	장편	영국	317	5963126500	806248	2670236000	344099
573	스피드 레이서	앤디 워쇼스키		워너브러더스 코리아(주)	워너브러더스 코리아(주)	2008-05-08	일반영화	장편	미국	339	5219874500	804631	2075139500	301766
574	하늘에서 음식이 내린다면 2	코디 카메론		소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2013-11-21	일반영화	장편	미국	545	5423213000	800062	1182203500	162353
575	그놈은 멋있었다	이환경	엘티 픽쳐스		프라임픽쳐스	2004-07-22	일반영화	장편	한국	77	2309055500	800000	631350500	160000
576	무극	첸 카이거		쇼이스트(주)	쇼이스트(주)	2006-01-26	일반영화	장편	중국	190	4308635500	798091	1,375,686,500 (	213892
577	A-특공대	조 카나한	듄 엔터테인먼트	이십세기폭스코리아(주)	이십세기폭스코리아(주)	2010-06-10	일반영화	장편	미국	330	5890424042	791173	1983672000	253638
578	화이트: 저주의 멜로디	김곡,김선	(주)두엔터테인먼트 		씨제이이앤엠(주)	2011-06-09	일반영화	장편	한국	305	5587166000	790954	1093550000	146776
579	노트북	닉 카사베츠	뉴라인 시네마	스튜디오플러스(주)	씨제이엔터테인먼트(주)	2004-11-26	일반영화	장편	미국	101	2750069500	789087	1230441000	219593
580	잭 리처	크리스토퍼 맥쿼리	파라마운트 픽쳐스	씨제이이앤엠(주)	씨제이이앤엠(주)	2013-01-17	일반영화	장편	미국	431	5758577000	784031	1767476500	230355
581	러시 아워 3	브렛 래트너	뉴라인 시네마	인터비스앤파트너스(주)	씨제이엔터테인먼트(주)	2007-10-03	일반영화	장편	미국	262	4952254000	783668	1281398000	198820
582	숨바꼭질	존 폴슨	투엔티쓰 센츄리-폭스 필름 코퍼레이션,조셉슨엔터테인먼트	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2005-02-25	일반영화	장편	미국	108	4386066000	779200	1602362000	261550
583	데스노트	카네코 슈스케		거원시네마(주)	UIP코리아	2006-11-02	일반영화	장편	일본	177	3703565500	777230	1111782000	205035
584	관능의 법칙	권칠인	(주)명필름		롯데쇼핑㈜롯데엔터테인먼트	2014-02-13	일반영화	장편	한국	591	5808789500	773996	1798198300	231102
585	그랜드 부다페스트 호텔	웨스 앤더슨		이십세기폭스코리아(주)	이십세기폭스코리아(주)	2014-03-20	다양성(예술)영화	장편	미국	163	6012095982	773605	3516335882	444941
586	푸른소금	이현승	(주)미디어앤시네마스튜디오블루		씨제이이앤엠(주)	2011-08-31	일반영화	장편	한국	476	5739824500	771699	1634205500	208701
587	플라이트 플랜	로베르트 슈벤트케	터치스톤 픽쳐스,이메이진엔터테인먼트	브에나비스타인터내셔널코리아	브에나비스타인터내셔널코리아	2005-11-18	일반영화	장편	미국	164	4347551500	771544	1854548500	298203
588	나는 왕이로소이다	장규성	데이지엔터테인먼트		롯데쇼핑㈜롯데엔터테인먼트	2012-08-08	일반영화	장편	한국	471	5317185404	768971	1274113835	176961
589	나의 결혼원정기	황병국	튜브픽쳐스(주)		롯데쇼핑㈜롯데엔터테인먼트	2005-11-23	일반영화	장편	한국	237	3860195500	767657	1491157500	249070
590	토르: 마법망치의 전설	오스카 요나손		(주)스마일이엔티	롯데쇼핑㈜롯데엔터테인먼트	2012-02-09	일반영화	장편	아이슬란드	383	5529185000	765315	1122505000	146284
591	두 얼굴의 여친	이석훈	㈜화인웍스		쇼박스㈜미디어플렉스	2007-09-13	일반영화	장편	한국	382	4586849000	762112	1475473500	231913
592	리오 2	카를로스 살다나		이십세기폭스코리아(주)	이십세기폭스코리아(주)	2014-05-01	일반영화	장편	미국	598	5631146900	761404	1224776100	159313
593	모던보이	정지우	(주)케이앤제이엔터테인먼트,(주)시네마서비스		씨제이엔터테인먼트(주)	2008-10-02	일반영화	장편	한국	373	4971421000	758473	1695482500	246098
594	판타스틱4	팀 스토리	마블 엔터테인먼트,이십세기폭스필름코퍼레이션		이십세기폭스코리아(주)	2005-08-11	일반영화	장편	미국	147	3522174000	757900	1107816500	198120
