Number	Title	Director1	Director2	Director3	Production_Company	Importer	Distributor	Release_Date	Movie_Category	Movie_Type	Nationality	National_Screen_Number	National_Revenue	National_Spectator_Number	Seoul_Revenue	Seoul_Spectator_Number	Movie_Rate	Running_Time	Genre1	Genre2	Actor1	Actor2	Actor3
108	이끼	강우석			(주)시네마서비스,㈜렛츠필름,(주)케이앤제이엔터테인먼트		씨제이엔터테인먼트(주)	2010-07-14	개봉영화	장편	한국	736	25856306126	3408144	8251736000	1044532	청소년관람불가	163	드라마	스릴러	박해일	정재영	유선
109	포화속으로	이재한			(주)태원엔터테인먼트,(주)유비유필름,(주)에이치 플러스		롯데쇼핑㈜롯데엔터테인먼트	2010-06-16	개봉영화	장편	한국	736	24217600897	3385706	6203066000	822965	12세이상관람가	120	드라마	전쟁	권상우	최승현	차승원
110	다이 하드 4 : 죽어도 산다	렌 와이즈먼			샤이엔 엔터프라이지즈,이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2007-07-17	개봉영화	장편	미국	528	20622308900	3380800	6554350600	990440	12세이상관람가	128	액션		브루스 윌리스	매기 큐	
111	맨 인 블랙 3	베리 소넨필드				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2012-05-24	개봉영화	장편	미국	770	27301520070	3379762	9258393070	1068672	12세이상관람가	106	액션	코미디	윌 스미스	토미 리 존스	
112	어바웃 타임	리차드 커티스				유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2013-12-05	개봉영화	장편	영국	568	24867186000	3375756	10488833000	1368822	15세이상관람가	123	멜로/로맨스	코미디	레이첼 맥아담스	돔놀 글리슨	
113	다빈치 코드	론 하워드				소니픽쳐스릴리징코리아	소니픽쳐스릴리징코리아	2006-05-18	개봉영화	장편	미국	514	18873057800	3339082	7621936300	1144795	15세이상관람가	147	미스터리	스릴러	톰 행크스 	오드리 토투	
114	슈렉2	켈리 애스버리	앤드류 아담슨	콘래드 베논	드림웍스픽쳐스	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2004-06-18	개봉영화	장편	미국	174	10800278500	3300533	5204856000	1285594	전체관람가	92	애니메이션	코미디	마이크 마이어스	카메론 디아즈	
115	그래비티	알폰소 쿠아론				워너브러더스 코리아(주)	워너브러더스 코리아(주)	2013-10-17	개봉영화	장편	미국	636	31484135600	3227452	14128973600	1311034	12세이상관람가	91	SF	드라마	산드라 블록	조지 클루니	
116	우주전쟁	스티븐 스필버그			엠블린엔터테인먼트,드림웍스 SKG,파라마운트 픽쳐스	UIP코리아	UIP코리아	2005-07-07	개봉영화	장편	미국	401	16758594690	3223000	6345813000	1006450	12세이상관람가	116	SF	드라마	톰 크루즈	다코타 패닝	
117	어린 신부	김호준			(주)컬처캡미디어		코리아픽쳐스(주)	2004-04-02	개봉영화	장편	한국	70	6240174500	3149500	1892130000	876600	12세이상관람가	114	코미디		김래원	문근영	
118	그놈 목소리	박진표			영화사 집		씨제이엔터테인먼트(주)	2007-02-01	개봉영화	장편	한국	498	17598617600	3143247	5196892500	826287	12세이상관람가	122	드라마	스릴러	설경구	김남주	강동원
119	우리들의 행복한 시간	송해성			(주)엘제이필름,상상필름(주)		(주)프라임엔터테인먼트	2006-09-14	개봉영화	장편	한국	414	14938924000	3132320	5492384500	980772	15세이상관람가	120	드라마		강동원	이나영	
120	캐리비안의 해적: 낯선 조류	롭 마샬				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2011-05-19	개봉영화	장편	미국	960	27279967500	3130046	8991119500	977452	12세이상관람가	137	액션	어드벤처	조니 뎁	이안 맥쉐인	
121	퀵	조범구			(주)제이케이필름,씨제이이앤엠(주)		씨제이이앤엠(주)	2011-07-20	개봉영화	장편	한국	512	22960890000	3125069	5353417500	692405	15세이상관람가	115	코미디	액션	이민기	강예원	고창석
122	감기	김성수			아이러브시네마,(주)아이필름코퍼레이션,씨제이이앤엠(주)		아이러브시네마	2013-08-14	개봉영화	장편	한국	806	21784202000	3119023	4692878000	638882	15세이상관람가	121	드라마	어드벤처	장혁	수애	박민하
123	말죽거리 잔혹사	유하			싸이더스 픽쳐스,㈜싸이더스픽쳐스		씨제이엔터테인먼트(주)	2004-01-16	개봉영화	장편	한국	40	3837152000	3115767	917846500	1023601	15세이상관람가	115	액션	멜로/로맨스	권상우	한가인	이정진
124	마파도	추창민			코리아 엔터테인먼트		씨제이엔터테인먼트(주)	2005-03-10	개봉영화	장편	한국	178	16751202503	3090467	5931615000	922647	15세이상관람가	107	코미디		이문식	김수미	여운계
125	하모니	강대규			(주)제이케이필름		씨제이엔터테인먼트(주)	2010-01-28	개봉영화	장편	한국	405	21992266198	3068544	5451128000	718993	12세이상관람가	115	드라마		김윤진	나문희	강예원
126	거북이 달린다	이연우			(주)씨네이천		쇼박스㈜미디어플렉스	2009-06-11	개봉영화	장편	한국	379	20857347292	3059812	6785771000	942277	15세이상관람가	117	드라마	액션	김윤석	정경호	견미리
127	너는 내 운명	박진표			(주)영화사봄		씨제이엔터테인먼트(주)	2005-09-23	개봉영화	장편	한국	306	17653958500	3051134	6925999500	1063480	청소년관람불가	121	멜로/로맨스		전도연	황정민	
128	토르: 다크 월드	앨런 테일러				소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2013-10-30	개봉영화	장편	미국	733	22525808500	3039889	6890911500	885699	12세이상관람가	112	액션	어드벤처	크리스 헴스워스	톰 히들스턴	
129	식객	전윤수			쇼이스트(주)		씨제이엔터테인먼트(주)	2007-11-01	개봉영화	장편	한국	406	18984549500	3038868	6006657500	913989	12세이상관람가	114	드라마		김강우	이하나	임원희
130	방자전	김대우			(주)바른손 ,시오필름(주),(주)더타워픽쳐스		씨제이엔터테인먼트(주)	2010-06-02	개봉영화	장편	한국	512	22853629794	3035116	7700850000	975688	청소년관람불가	124	사극	멜로/로맨스	김주혁	조여정	류승범
131	하울의 움직이는 성	미야자키 하야오			지브리 스튜디오	대원미디어㈜	(주)시네마서비스	2004-12-23	개봉영화	장편	일본	183	15148496500	3015165	5656447500	981221	전체관람가	119	애니메이션		바이쇼 치에코	기무라 다쿠야	
132	마더	봉준호			(주)바른손 		씨제이엔터테인먼트(주)	2009-05-28	개봉영화	장편	한국	648	20195373838	3013523	7430891000	1060010	청소년관람불가	128	드라마		김혜자	원빈	진구
133	투모로우	롤랜드 에머리히			센트로폴리스 엔터테인먼트,더 마크 고든 컴퍼니	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2004-06-03	개봉영화	장편	미국	164	11658584500	3006400	4253246500	959010	12세이상관람가	123	SF		데니스 퀘이드	제이크 질렌홀	
134	레드: 더 레전드	딘 패리소트				블루미지	롯데쇼핑㈜롯데엔터테인먼트	2013-07-18	개봉영화	장편	미국	739	21511358970	3004647	6308770970	841287	15세이상관람가	115	액션	코미디	브루스 윌리스	메리-루이스 파커	이병헌
135	해리 포터와 혼혈 왕자	데이빗 예이츠			워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2009-07-15	개봉영화	장편	미국	751	20580402431	3002669	6666092500	907125	전체관람가	153	판타지	액션	다니엘 래드클리프	엠마 왓슨	루퍼트 그린트
136	오싹한 연애	황인호			상상필름(주)		씨제이이앤엠(주)	2011-12-01	개봉영화	장편	한국	469	21965313000	3001530	6146203500	797727	12세이상관람가	114	공포	멜로/로맨스	손예진	이민기	
137	드래곤 길들이기 2	딘 데블로이스				씨제이이앤엠(주)	씨제이이앤엠(주)	2014-07-23	개봉영화	장편	미국	829	23952932189	2996191	6557347889	751033	전체관람가	102	애니메이션		제이 바루첼 	제라드 버틀러	
138	황금 나침반	크리스 웨이츠			뉴라인 시네마	(주)태원엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트	2007-12-18	개봉영화	장편	미국	492	18336681000	2979838	5816172000	883918	전체관람가	113	판타지	어드벤처	다니엘 크레이그	니콜 키드먼	
139	친구 2	곽경택			(주)트리니티엔터테인먼트,(주)제이콘컴퍼니		롯데쇼핑㈜롯데엔터테인먼트	2013-11-14	개봉영화	장편	한국	968	21804687513	2971475	5171825013	675887	청소년관람불가	124	액션	범죄	유오성	주진모	김우빈
140	26년	조근현			영화사청어람(주)		(주)인벤트스톤,영화사청어람(주)	2012-11-29	개봉영화	장편	한국	604	21241327145	2963449	6121058611	817210	15세이상관람가	135	액션	드라마	진구	한혜진	배수빈
141	워낭소리	이충렬			스튜디오느림보		㈜인디스토리	2009-01-15	개봉영화	장편	한국	20	19259975032	2962897	6486389900	958688	전체관람가	77	다큐멘터리		최원균	이삼순	
142	고지전	장훈			(주)티피에스컴퍼니		쇼박스㈜미디어플렉스	2011-07-20	개봉영화	장편	한국	585	21968557600	2945137	6379632100	817904	15세이상관람가	133	드라마	전쟁	고수	신하균	류승룡
143	300	잭 스나이더			워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2007-03-14	개봉영화	장편	미국	402	18683698500	2929400	7090410000	1076005	청소년관람불가	116	액션	전쟁	제라드 버틀러	레나 헤디	
144	솔트	필립 노이스			콜럼비아 픽쳐스 코포레이션	한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2010-07-29	개봉영화	장편	미국	556	21719123025	2921331	6529156500	837532	15세이상관람가	99	스릴러	액션	안젤리나 졸리		
145	헬로우 고스트	김영탁			(주)워터앤트리		(주)넥스트엔터테인먼트월드(NEW)	2010-12-22	개봉영화	장편	한국	472	21154651779	2897477	6343048000	823854	12세이상관람가	111	코미디	드라마	차태현	강예원	고창석
146	귀신이 산다	김상진			(주)시네마서비스		(주)시네마서비스	2004-09-17	개봉영화	장편	한국	174	11898748500	2890000	3918371000	751340	12세이상관람가	123	코미디	공포	차승원	장서희	
147	원티드	티무르 베크맘베토브				유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2008-06-26	개봉영화	장편	미국	446	19258777000	2867594	7021231500	994356	청소년관람불가	110	스릴러	액션	제임스 맥어보이	안젤리나 졸리	
148	슈렉3	크리스 밀러	러먼 휘		드림웍스 애니메이션	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2007-06-06	개봉영화	장편	미국	620	17898427500	2844159	6245352500	945899	전체관람가	92	애니메이션	코미디	마이크 마이어스	카메론 디아즈	
149	표적	창			(주)바른손 ,(주)용필름		씨제이이앤엠(주)	2014-04-30	개봉영화	장편	한국	666	22256639300	2841824	5348606900	652750	15세이상관람가	98	액션	드라마	류승룡	유준상	이진욱
150	호빗: 뜻밖의 여정	피터 잭슨				워너브러더스 코리아(주)	워너브러더스 코리아(주)	2012-12-13	개봉영화	장편	미국	1028	23436820716	2818993	8241919216	910976	12세이상관람가	169	어드벤처	판타지	마틴 프리먼 	이안 맥켈런	리차드 아미티지
151	해리 포터와 죽음의 성물1	데이빗 예이츠			헤이데이필름	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2010-12-15	개봉영화	장편	미국	718	19906900266	2809053	6430256500	866701	전체관람가	146	판타지	액션	다니엘 래드클리프	엠마 왓슨	루퍼트 그린트
152	혹성탈출: 진화의 시작	루퍼트 와이어트				이십세기폭스코리아(주)	이십세기폭스코리아(주)	2011-08-17	개봉영화	장편	미국	514	20629757000	2773794	6637598000	849251	12세이상관람가	106	액션	SF	앤디 서키스 	제임스 프랭코	
153	부당거래	류승완			필름트레인,(주)외유내강		씨제이엔터테인먼트(주)	2010-10-28	개봉영화	장편	한국	502	21326977937	2766436	7587039000	944655	청소년관람불가	119	범죄	드라마	황정민	류승범	천호진
154	1번가의 기적	윤제균			(주)두사부필름		씨제이엔터테인먼트(주)	2007-02-14	개봉영화	장편	한국	340	15494122100	2750457	4556836500	697439	15세이상관람가	113	드라마	코미디	하지원	임창정	
155	시라노; 연애조작단	김현석			(주)명필름		롯데쇼핑㈜롯데엔터테인먼트	2010-09-16	개봉영화	장편	한국	402	20171151599	2731828	7068438000	910652	12세이상관람가	121	멜로/로맨스	코미디	엄태웅	이민정	최다니엘
156	핸콕	피터 버그				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2008-07-02	개봉영화	장편	미국	602	17854932333	2723518	5977901000	860691	12세이상관람가	92	액션	드라마	윌 스미스	샤를리즈 테론	
157	내가 살인범이다	정병길			(주)다세포클럽,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2012-11-08	개봉영화	장편	한국	547	20338948000	2721903	6313599000	809580	청소년관람불가	119	액션	스릴러	정재영	박시후	
158	나우 유 씨 미 : 마술사기단	루이스 리테리어				데이지엔터테인먼트	롯데쇼핑㈜롯데엔터테인먼트	2013-08-22	개봉영화	장편	미국	691	19146691869	2718227	6322143282	855244	12세이상관람가	115	범죄	액션	제시 아이젠버그	마크 러팔로	우디 해럴슨
159	적벽대전 2 : 최후의 결전	오우삼				쇼박스㈜미디어플렉스	쇼박스㈜미디어플렉스	2009-01-22	개봉영화	장편	중국	426	17910684413	2713031	5181840500	743318	15세이상관람가	141	액션	전쟁	금성무	양조위	조미
160	지.아이.조 : 전쟁의 서막	스티븐 소머즈			파라마운트 픽쳐스	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2009-08-06	개봉영화	장편	미국	446	19889126096	2706748	5995248000	774359	15세이상관람가	117	액션	SF	채닝 테이텀 	시에나 밀러	
161	타이탄	루이스 리테리어			워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2010-04-01	개봉영화	장편	미국	694	22143097429	2685508	6821236500	798779	12세이상관람가	106	액션	어드벤처	샘 워싱턴	리암 니슨	랄프 파인즈
162	소원	이준익			(주)필름모멘텀		롯데쇼핑㈜롯데엔터테인먼트	2013-10-02	개봉영화	장편	한국	641	18251983100	2663170	3769048600	518005	12세이상관람가	122	드라마		설경구	엄지원	이레
163	브레이킹 던 part2	빌 콘돈				판씨네마㈜	(주)넥스트엔터테인먼트월드(NEW)	2012-11-15	개봉영화	장편	미국	665	18909583065	2654817	5571602065	745970	15세이상관람가	115	판타지	멜로/로맨스	크리스틴 스튜어트	로버트 패틴슨	
164	후궁 : 제왕의 첩	김대승			(주)황기성 사단		롯데쇼핑㈜롯데엔터테인먼트	2012-06-06	개봉영화	장편	한국	624	19250354500	2621436	5525028500	716851	청소년관람불가	122	사극	멜로/로맨스	조여정	김동욱	김민준
165	드래곤 길들이기	딘 데블로이스			드림웍스 애니메이션	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2010-05-20	개봉영화	장편	미국	562	27471926367	2603857	9508353500	846400	전체관람가	98	애니메이션	코미디	제이 바루첼 	제라드 버틀러	
166	위험한 상견례	김진영			㈜전망좋은 영화사		롯데쇼핑㈜롯데엔터테인먼트	2011-03-31	개봉영화	장편	한국	524	19174920500	2595625	5930105000	765417	12세이상관람가	118	코미디	멜로/로맨스	송새벽	이시영	백윤식
167	굿모닝 프레지던트	장진			소란플레이먼트(주)		씨제이엔터테인먼트(주)	2009-10-22	개봉영화	장편	한국	586	18770889320	2583294	6239306300	815403	전체관람가	132	코미디	드라마	장동건	이순재	임하룡
168	음란서생	김대우			(주)영화사비단길		씨제이엔터테인먼트(주)	2006-02-23	개봉영화	장편	한국	347	14944551700	2576022	5956143200	868692	청소년관람불가	139	사극	코미디	한석규	김민정	이범수
169	내 머리 속의 지우개	이재한			싸이더스 픽쳐스		씨제이엔터테인먼트(주)	2004-11-05	개봉영화	장편	한국	206	11919939500	2565078	4294393000	797593	12세이상관람가	117	멜로/로맨스		정우성	손예진	
170	퍼시픽 림	길예르모 델 토로				워너브러더스 코리아(주)	워너브러더스 코리아(주)	2013-07-11	개봉영화	장편	미국	1005	20477392512	2539114	6769401012	776183	12세이상관람가	131	액션	SF	찰리 헌냄	론 펄먼	
171	내 생애 가장 아름다운 일주일	민규동			(주)두사부필름,(주)수필름		씨제이엔터테인먼트(주)	2005-10-07	개봉영화	장편	한국	296	14710541000	2533103	5824581000	902189	15세이상관람가	129	멜로/로맨스		황정민	엄정화	임창정
172	엑스맨: 퍼스트 클래스	매튜 본				이십세기폭스코리아(주)	이십세기폭스코리아(주)	2011-06-02	개봉영화	장편	미국	587	19063768000	2532306	6847701000	870595	12세이상관람가	132	액션	SF	제임스 맥어보이	마이클 패스벤더	케빈 베이컨
173	해리포터와 아즈카반의 죄수	알폰소 쿠아론			워너브러더스사㈜	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2004-07-16	개봉영화	장편	미국	228	10926141000	2532000	4026645000	892900	전체관람가	136	판타지	액션	다니엘 래드클리프	엠마 왓슨	루퍼트 그린트
174	패션 오브 크라이스트	멜 깁슨			아이콘프로덕션	이십세기폭스필름코퍼레이션	이십세기폭스필름코퍼레이션	2004-04-02	개봉영화	장편	미국	66	5338827500	2523700	1722951500	940230	15세이상관람가	125	드라마		제임스 카비젤	모니카 벨루치	
175	나니아 연대기-사자,마녀 그리고 옷장	앤드류 아담슨			월트 디즈니 픽쳐스	브에나비스타인터내셔널코리아	브에나비스타인터내셔널코리아	2005-12-29	개봉영화	장편	미국	275	13232904500	2505133	4699132700	714948	전체관람가	139	가족	판타지	조지 헨리	스캔더 킨즈	
176	우리 형	안권태			(주)진인사필름		씨제이엔터테인먼트(주)	2004-10-08	개봉영화	장편	한국	211	11090682500	2479585	3758255000	699725	15세이상관람가	112	드라마		신하균	원빈	
177	박수칠 때 떠나라	장진			(주)어나더썬데이		(주)시네마서비스	2005-08-11	개봉영화	장편	한국	237	13181626500	2475291	5204961500	815497	15세이상관람가	115	드라마	코미디	차승원	신하균	김지수
178	반창꼬	정기훈			(주)영화사오름		(주)넥스트엔터테인먼트월드(NEW)	2012-12-19	개봉영화	장편	한국	466	17883988787	2471721	4304602748	568409	15세이상관람가	120	멜로/로맨스		고수	한효주	
179	화차	변영주			(주)영화제작소보임		필라멘트픽쳐스	2012-03-08	개봉영화	장편	한국	548	18450760000	2435211	6041917500	760953	15세이상관람가	117	미스터리		이선균	김민희	조성하
180	이웃사람	김휘			영화사 무쇠팔,플로우식스(주),자이온 이엔티(주),(주)누리픽쳐스,히트박스		롯데쇼핑㈜롯데엔터테인먼트	2012-08-22	개봉영화	장편	한국	600	18087442369	2434099	5411949754	697152	청소년관람불가	110	스릴러		김윤진	마동석	천호진
181	광식이 동생 광태	김현석			(주)엠케이픽처스 		(주)엠케이픽처스 	2005-11-23	개봉영화	장편	한국	276	12811265009	2430200	4941994000	806193	15세이상관람가	104	코미디		김주혁	이요원	봉태규
182	의뢰인	손영성			청년필름(주)		쇼박스㈜미디어플렉스	2011-09-29	개봉영화	장편	한국	522	17797042500	2393086	5652134000	719601	15세이상관람가	123	스릴러		하정우	장혁	박희순
183	화이: 괴물을 삼킨 아이	장준환			나우필름(주),파인하우스필름㈜,쇼박스㈜미디어플렉스		쇼박스㈜미디어플렉스	2013-10-09	개봉영화	장편	한국	817	17678676795	2391963	5419118695	697799	청소년관람불가	125	액션	스릴러	여진구	김윤석	조진웅
184	테이큰	피에르 모렐				와이즈앤와이드엔터테인먼트(주)	㈜스튜디오이쩜영	2008-04-09	개봉영화	장편	프랑스	254	15971389000	2379830	5816455000	825364	청소년관람불가	93	범죄	스릴러	리암 니슨	매기 그레이스	
185	007 스카이폴	샘 멘데스				소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)	2012-10-26	개봉영화	장편	미국	748	17487213000	2376145	6160910500	793030	15세이상관람가	143	액션		다니엘 크레이그	하비에르 바르뎀	
186	스파이더맨 2	샘 레이미			콜럼비아트라이스타	콜럼비아트라이스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2004-06-30	개봉영화	장편	미국	198	9632558500	2367704	3802858000	771915	12세이상관람가	126	SF	액션	토비 맥과이어	커스틴 던스트	
187	가문의 영광4 - 가문의 수난	정태원			(주)태원엔터테인먼트		(주)넥스트엔터테인먼트월드(NEW)	2011-09-07	개봉영화	장편	한국	537	17762035500	2363955	4095559500	516319	15세이상관람가	103	코미디		신현준	김수미	탁재훈
188	블라인드	안상훈			(주)문와쳐		(주)넥스트엔터테인먼트월드(NEW)	2011-08-10	개봉영화	장편	한국	404	18361430500	2362906	5974758500	736580	청소년관람불가	111	스릴러		김하늘	유승호	
189	맨발의 기봉이	권수경			(주)태원엔터테인먼트		쇼박스㈜미디어플렉스	2006-04-26	개봉영화	장편	한국	271	12239242400	2347311	3453134900	524357	전체관람가	100	코미디	드라마	신현준	김수미	탁재훈
190	바람의 파이터	양윤호			아이비젼엔터테인먼트(주)		영화사청어람(주)	2004-08-12	개봉영화	장편	한국	110	9158945500	2346446	3028428000	634897	12세이상관람가	120	액션		양동근	정두홍	
191	작업의 정석	오기환			영화사청어람(주)		쇼박스㈜미디어플렉스	2005-12-21	개봉영화	장편	한국	260	11706585100	2342232	4544912100	741455	15세이상관람가	100	코미디	멜로/로맨스	손예진	송일국	
192	미인도	전윤수			㈜이룸영화사,(주)영화사참		씨제이엔터테인먼트(주)	2008-11-13	개봉영화	장편	한국	463	15531621371	2325715	4979210500	709649	청소년관람불가	108	사극	멜로/로맨스	김민선	김남길	김영호
193	라스트 갓파더	심형래			㈜영구아트		씨제이엔터테인먼트(주)	2010-12-29	개봉영화	장편	한국	547	16832542997	2316099	4836322500	633176	12세이상관람가	103	코미디		심형래	마이클 리스폴리	
194	테이큰 2	올리비에 메가톤				이십세기폭스코리아(주)	이십세기폭스코리아(주)	2012-09-27	개봉영화	장편	프랑스	682	17581098553	2308596	5503312053	692896	청소년관람불가	92	범죄	스릴러	리암 니슨	매기 그레이스	
195	하녀	임상수			싸이더스 픽쳐스,㈜미로비젼		싸이더스 픽쳐스	2010-05-13	개봉영화	장편	한국	577	17310669976	2304487	5832848500	740713	청소년관람불가	106	스릴러	멜로/로맨스	전도연	이정재	윤여정
196	달콤, 살벌한 연인	손재곤			싸이더스 픽쳐스,(주)MBC씨앤아이		씨제이엔터테인먼트(주)	2006-04-06	개봉영화	장편	한국	246	13426707100	2286745	5294800100	766007	청소년관람불가	110	스릴러	멜로/로맨스	박용우	최강희	
197	호빗: 스마우그의 폐허	피터 잭슨				워너브러더스 코리아(주)	워너브러더스 코리아(주)	2013-12-12	개봉영화	장편	미국	811	17851096316	2282807	3736656816	471461	12세이상관람가	161	어드벤처	판타지	마틴 프리먼 	이안 맥켈런	리차드 아미티지
198	나잇&데이	제임스 맨골드			뉴리전시 픽쳐스,리젠시 엔터프라이즈,이십세기폭스필름코퍼레이션,트리 라인 필름,로드레벨,핑크	이십세기폭스코리아(주)	이십세기폭스코리아(주)	2010-06-24	개봉영화	장편	미국	501	17054262425	2282191	6032890000	771899	15세이상관람가	109	액션	코미디	톰 크루즈	카메론 디아즈	
199	혈의 누	김대승			싸이더스 픽쳐스,(주)좋은영화		(주)시네마서비스	2005-05-04	개봉영화	장편	한국	264	12367924506	2274995	4890309000	763864	청소년관람불가	119	스릴러		차승원	박용우	유해진
200	컨저링	제임스 완				워너브러더스 코리아(주)	워너브러더스 코리아(주)	2013-09-17	개봉영화	장편	미국	553	16353225777	2262758	4503892277	593487	15세이상관람가	112	공포	스릴러	베라 파미가 	패트릭 윌슨	
201	슈렉 포에버	마이크 미첼			드림웍스 애니메이션	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2010-07-01	개봉영화	장편	미국	561	23178925617	2261356	8349179500	767056	전체관람가	93	애니메이션	코미디	마이크 마이어스	카메론 디아즈	
202	극락도 살인사건	김한민			(주)두엔터테인먼트 		(주)엠케이픽처스 ,(주)두엔터테인먼트 	2007-04-12	개봉영화	장편	한국	368	13328932000	2259511	4361743500	647717	15세이상관람가	112	공포	미스터리	박해일	박솔미	
203	이글 아이	D.J. 카루소				씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2008-10-09	개봉영화	장편	미국	330	14577167667	2258369	4745696667	695165	12세이상관람가	117	액션	스릴러	샤이아 라보프	미셀 모나한	
204	배틀쉽	피터 버그				유니버설픽쳐스인터내셔널 코리아(유)	유니버설픽쳐스인터내셔널 코리아(유)	2012-04-11	개봉영화	장편	미국	736	16545921500	2241687	4666555500	597715	12세이상관람가	131	SF	액션	테일러 키치	알렉산더 스카르가드	
205	셜록홈즈 : 그림자 게임	가이 리치				워너브러더스 코리아(주)	워너브러더스 코리아(주)	2011-12-21	개봉영화	장편	미국	370	16670913500	2239156	6013564500	774620	15세이상관람가	128	액션	미스터리	로버트 다우니 주니어	주드 로	
206	박쥐	박찬욱			(주)모호필름		씨제이엔터테인먼트(주)	2009-04-30	개봉영화	장편	한국	462	15051788827	2237271	5232105000	741819	청소년관람불가	133	공포	드라마	송강호	김옥빈	신하균
207	7광구	김지훈			(주)제이케이필름,씨제이이앤엠(주)		씨제이이앤엠(주)	2011-08-04	개봉영화	장편	한국	812	19314027000	2232179	4908554500	528995	15세이상관람가	101	SF	액션	하지원	오지호	안성기
208	어거스트 러쉬	커스틴 쉐리단			사우스포우 엔터테인먼트	씨제이엔터테인먼트(주)	씨제이엔터테인먼트(주)	2007-11-29	개봉영화	장편	미국	271	14179371500	2218573	5902636500	886657	전체관람가	113	드라마		프레디 하이모어 	조나단 리스 메이어스	
209	나는 전설이다	프란시스 로렌스			워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2007-12-12	개봉영화	장편	미국	447	16084527000	2215883	5356391500	793993	12세이상관람가	97	SF	액션	윌 스미스	알리스 브라가	
210	포세이돈	볼프강 페터젠			워너 브러더스 픽쳐스	워너브러더스 코리아(주)	워너브러더스 코리아(주)	2006-05-31	개봉영화	장편	미국	338	14588094300	2214600	5350349800	787738	12세이상관람가	98	액션	드라마	커트 러셀	조쉬 루카스	
211	셜록 홈즈	가이 리치				워너브러더스 코리아(주)	워너브러더스 코리아(주)	2009-12-23	개봉영화	장편	미국	377	16207513113	2207751	5705938500	739965	12세이상관람가	128	미스터리	어드벤처	로버트 다우니 주니어	주드 로	
212	007 퀀텀 오브 솔러스	마크 포스터				한국소니픽쳐스릴리징브에나비스타영화㈜	한국소니픽쳐스릴리징브에나비스타영화㈜	2008-11-05	개봉영화	장편	미국	518	14366688333	2201300	4929184833	717142	15세이상관람가	106	액션	어드벤처	다니엘 크레이그	올가 큐리렌코	
213	내 여자친구를 소개합니다	곽재용			(주)아이필름코퍼레이션		씨제이엔터테인먼트(주),아이러브시네마	2004-06-03	개봉영화	장편	한국	185	8329341500	2199359	3034304500	659380	15세이상관람가	118	멜로/로맨스	드라마	전지현	장혁	
214	마당을 나온 암탉	오성윤			(주)오돌또기 ,(주)명필름		롯데쇼핑㈜롯데엔터테인먼트	2011-07-28	개봉영화	장편	한국	345	14656535500	2199048	3749312000	538167	전체관람가	93	애니메이션		문소리	유승호	
215	댄서의 순정	박영훈			(주)컬처캡미디어		쇼이스트(주)	2005-04-28	개봉영화	장편	한국	240	11674131000	2197555	4328063500	692461	12세이상관람가	110	드라마		문근영	박건형	
216	바르게 살자	라희찬			필름있수다		씨제이엔터테인먼트(주)	2007-10-18	개봉영화	장편	한국	372	13944930000	2190250	4550296000	672381	15세이상관람가	102	코미디	드라마	정재영	손병호	
217	늑대의 유혹	김태균			싸이더스 픽쳐스		쇼박스㈜미디어플렉스	2004-07-22	개봉영화	장편	한국	0	8025959500	2189453	2963371000	610971	12세이상관람가	113	드라마		강동원	조한선	이청아
